City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,vila,42.0304,-8.1588,279.64,92,96,1.66,PT,1679342114
85,bluff,-46.6,168.3333,284.67,62,100,13.64,NZ,1679342114
86,tura,25.5198,90.2201,289.31,92,53,1.01,IN,1679342118
87,rawson,-43.3002,-65.1023,290.22,45,100,4.35,AR,1679341881
88,chuy,-33.6971,-53.4616,295.27,71,96,6.28,UY,1679342119
89,igarka,67.4667,86.5833,261.08,94,100,9.74,RU,1679342120
90,butaritari,3.0707,172.7902,300.17,80,84,5.92,KI,1679342121
91,tuktoyaktuk,69.4541,-133.0374,263.15,79,75,3.6,CA,1679342122
92,harper,4.375,-7.7169,300.12,82,15,4.92,LR,1679341952
93,shubarshi,48.5872,57.1869,273.44,55,60,3.67,KZ,1679342122
94,batagay-alyta,67.8006,130.4114,245.01,98,100,1.18,RU,1679342123
95,kapaa,22.0752,-159.319,300.14,85,40,1.79,US,1679342123
96,opuwo,-18.0607,13.84,294.62,40,79,2.82,NA,1679342124
97,dillon,34.4166,-79.3712,288.85,32,19,3.88,US,1679342111
98,conceicao do araguaia,-8.2578,-49.2647,301.77,69,74,0.65,BR,1679342125
99,katsuura,35.1333,140.3,287.16,81,74,2.91,JP,1679341851
100,sorland,67.667,12.6934,273.07,62,100,14.02,NO,1679342125
101,likasi,-10.9814,26.7333,289.93,97,100,1.74,CD,1679342126
102,iwanai,42.9744,140.5089,275.05,91,54,2.62,JP,1679342126
103,port blair,11.6667,92.75,299.83,79,6,2.63,IN,1679342127
104,saldanha,-33.0117,17.9442,291.18,81,0,6.45,ZA,1679342127
105,georgetown,5.4112,100.3354,300.11,89,20,0.0,MY,1679342076
106,elliot,-31.3333,27.85,290.73,54,100,2.52,ZA,1679342128
107,kasangulu,-4.5911,15.1708,294.83,86,100,1.12,CD,1679342128
108,upernavik,72.7868,-56.1549,246.77,98,96,5.42,GL,1679342129
109,san quintin,30.4833,-115.95,290.67,79,90,4.06,MX,1679341975
110,caravelas,-17.7125,-39.2481,300.13,71,3,2.95,BR,1679342130
111,tual,-5.6667,132.75,301.35,73,87,1.33,ID,1679342130
112,avarua,-21.2078,-159.775,300.18,83,90,4.63,CK,1679342131
113,nikolskoye,59.7035,30.7861,280.09,97,100,3.77,RU,1679342132
114,paamiut,61.994,-49.6678,270.89,78,99,3.64,GL,1679341855
115,celica,-4.1167,-79.95,294.1,75,67,2.01,EC,1679342132
116,urumqi,43.801,87.6005,268.68,100,75,2.0,CN,1679342133
117,pasni,25.2631,63.471,296.79,64,4,2.47,PK,1679342133
118,anadyr,64.75,177.4833,263.43,85,100,12.0,RU,1679342134
119,alice springs,-23.7,133.8833,291.9,48,0,1.03,AU,1679342134
120,yenagoa,4.9247,6.2642,299.88,75,33,2.68,NG,1679342135
121,lebu,-37.6167,-73.65,288.17,69,31,7.55,CL,1679342135
122,kavieng,-2.5744,150.7967,300.39,67,89,3.83,PG,1679342136
123,tevaitoa,-16.7833,-151.5,301.27,68,6,4.07,PF,1679342136
124,ciudad bolivar,8.1222,-63.5497,309.89,23,28,7.02,VE,1679342137
125,bijie,27.3125,105.2942,283.8,86,99,2.41,CN,1679342137
126,constitucion,-35.3333,-72.4167,293.05,49,0,4.46,CL,1679342137
127,bethel,41.3712,-73.414,285.01,27,0,3.09,US,1679342023
128,lons-le-saunier,46.75,5.75,281.06,93,49,1.35,FR,1679342138
129,ugoofaaru,5.6667,73.0,300.73,75,21,3.13,MV,1679342139
130,naryan-mar,67.6713,53.087,271.37,95,100,11.32,RU,1679342142
131,gasa,31.5,34.4667,284.75,73,1,4.03,PS,1679341936
132,shelburne,44.0787,-80.2041,278.4,63,62,7.22,CA,1679342145
133,severo-kurilsk,50.6789,156.125,269.95,67,59,6.91,RU,1679342145
134,antalaha,-14.9003,50.2788,297.41,89,100,2.43,MG,1679342146
135,wakefield,53.6809,-1.499,286.62,86,100,3.14,GB,1679342146
136,cutro,39.0353,16.9819,285.18,94,0,3.6,IT,1679342146
137,geraldton,-28.7667,114.6,294.38,88,100,1.54,AU,1679342121
138,atuona,-9.8,-139.0333,299.82,71,0,6.05,PF,1679342147
139,port macquarie,-31.4333,152.9167,293.65,87,100,5.94,AU,1679341998
140,dzilam gonzalez,21.2833,-88.9333,296.14,62,91,4.78,MX,1679342148
141,lermontovka,47.1453,134.3383,272.21,88,7,2.35,RU,1679342148
142,sao filipe,14.8961,-24.4956,295.78,76,3,3.74,CV,1679342149
143,liwale,-9.7667,37.9333,293.45,98,100,0.84,TZ,1679342149
144,muros,42.7762,-9.0603,286.53,80,100,2.92,ES,1679341949
145,cockburn town,21.4612,-71.1419,298.37,82,2,7.56,TC,1679342150
146,margate,51.3813,1.3862,283.08,89,100,1.79,GB,1679342100
147,luanda,-8.8368,13.2343,301.15,74,20,4.12,AO,1679342123
148,nome,64.5011,-165.4064,270.19,93,100,15.43,US,1679342151
149,nchelenge,-9.3451,28.734,294.11,89,100,2.1,ZM,1679342151
150,cherskiy,68.75,161.3,242.01,97,100,4.6,RU,1679342151
151,tessalit,20.1986,1.0114,297.48,11,0,5.55,ML,1679342152
152,nyaunglebin,17.95,96.7333,297.89,58,96,1.97,MM,1679342153
153,bilma,18.6853,12.9164,302.81,6,55,2.55,NE,1679342153
154,east london,-33.0153,27.9116,296.68,78,100,3.37,ZA,1679342047
155,kuytun,54.3419,101.5036,257.18,91,100,4.25,RU,1679342154
156,coxim,-18.5067,-54.76,299.0,84,82,2.69,BR,1679342154
157,sioux lookout,50.1001,-91.917,265.19,27,20,2.06,CA,1679342154
158,husavik,66.0449,-17.3389,262.93,85,9,5.25,IS,1679342155
159,rio gallegos,-51.6226,-69.2181,287.18,35,0,15.43,AR,1679342155
160,abu dhabi,24.4667,54.3667,299.79,51,0,2.06,AE,1679342156
161,mar del plata,-38.0023,-57.5575,294.72,62,0,3.09,AR,1679342156
162,lampa,-33.2833,-70.9,303.33,36,0,9.26,CL,1679342156
163,petropavlovsk-kamchatskiy,53.0452,158.6483,267.48,50,20,7.0,RU,1679342157
164,tabat,-2.635,115.2274,295.96,99,100,0.62,ID,1679342158
165,vyartsilya,62.1764,30.693,273.3,99,100,1.94,RU,1679342158
166,longyearbyen,78.2186,15.6401,254.06,60,20,5.14,SJ,1679342158
167,okmulgee,35.6234,-95.9605,288.36,31,40,7.2,US,1679342159
168,kailua,21.4022,-157.7394,300.14,74,40,2.68,US,1679341969
169,oyama,36.3,139.8,287.92,71,27,0.9,JP,1679342160
